[2026-09-18 10:05:57] ===== START R5_late_decay =====
[2026-09-18 10:05:57] python -u train.py --config configs/cifar10_fid15_r5_late_decay.yaml
/root/autodl-tmp/diffusion-models-starter-r4/projects/project1_ddpm/train.py:276: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler(enabled=use_amp and amp_dtype == torch.float16)
/root/autodl-tmp/diffusion-models-starter-r4/projects/project1_ddpm/train.py:343: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast(enabled=use_amp, dtype=amp_dtype):
[epoch 068 step 026800] loss=0.06332 lr=2.000e-04
[epoch 068 step 026900] loss=0.07052 lr=2.000e-04
[epoch 069 step 027000] loss=0.05405 lr=2.000e-04
[epoch 069 step 027100] loss=0.04379 lr=2.000e-04
[epoch 069 step 027200] loss=0.05766 lr=2.000e-04
[epoch 070 step 027300] loss=0.05407 lr=2.000e-04
[epoch 070 step 027400] loss=0.05729 lr=2.000e-04
[epoch 070 step 027500] loss=0.04377 lr=2.000e-04
[epoch 070 step 027600] loss=0.05817 lr=2.000e-04
[epoch 071 step 027700] loss=0.04044 lr=2.000e-04
[epoch 071 step 027800] loss=0.05501 lr=2.000e-04
[epoch 071 step 027900] loss=0.04775 lr=2.000e-04
[epoch 071 step 028000] loss=0.05654 lr=2.000e-04
[epoch 072 step 028100] loss=0.05172 lr=2.000e-04
[epoch 072 step 028200] loss=0.07059 lr=2.000e-04
[epoch 072 attempt 028286] optimizer step skipped; scaler=2097152.0
[epoch 072 step 028300] loss=0.06112 lr=2.000e-04
[epoch 072 step 028400] loss=0.04870 lr=2.000e-04
[epoch 073 step 028500] loss=0.05987 lr=2.000e-04
[epoch 073 step 028600] loss=0.04280 lr=2.000e-04
[epoch 073 step 028700] loss=0.04349 lr=2.000e-04
[epoch 073 step 028800] loss=0.05079 lr=2.000e-04
[epoch 074 step 028900] loss=0.05351 lr=2.000e-04
[epoch 074 step 029000] loss=0.05552 lr=2.000e-04
[epoch 074 step 029100] loss=0.05127 lr=2.000e-04
[epoch 074 step 029200] loss=0.05703 lr=2.000e-04
[epoch 075 step 029300] loss=0.05750 lr=2.000e-04
[epoch 075 step 029400] loss=0.05631 lr=2.000e-04
[epoch 075 step 029500] loss=0.05063 lr=2.000e-04
[epoch 075 step 029600] loss=0.05227 lr=2.000e-04
[epoch 076 step 029700] loss=0.05765 lr=2.000e-04
[epoch 076 step 029800] loss=0.06646 lr=2.000e-04
[epoch 076 step 029900] loss=0.05383 lr=2.000e-04
[epoch 076 step 030000] loss=0.06015 lr=2.000e-04
[epoch 077 step 030100] loss=0.05271 lr=2.000e-04
[epoch 077 step 030200] loss=0.06477 lr=2.000e-04
[epoch 077 step 030300] loss=0.05917 lr=2.000e-04
[epoch 077 attempt 030322] optimizer step skipped; scaler=2097152.0
[epoch 077 step 030400] loss=0.04896 lr=2.000e-04
[epoch 078 step 030500] loss=0.05538 lr=2.000e-04
[epoch 078 step 030600] loss=0.06112 lr=2.000e-04
[epoch 078 step 030700] loss=0.06259 lr=2.000e-04
[epoch 078 step 030800] loss=0.05867 lr=2.000e-04
[epoch 079 step 030900] loss=0.04974 lr=2.000e-04
[epoch 079 step 031000] loss=0.05757 lr=2.000e-04
[epoch 079 step 031100] loss=0.04906 lr=2.000e-04
[epoch 080 step 031200] loss=0.05607 lr=2.000e-04
[epoch 080 step 031300] loss=0.05855 lr=2.000e-04
[epoch 080 step 031400] loss=0.05824 lr=2.000e-04
[epoch 080 step 031500] loss=0.04691 lr=2.000e-04
[epoch 081 step 031600] loss=0.05187 lr=2.000e-04
[epoch 081 step 031700] loss=0.06165 lr=2.000e-04
[epoch 081 step 031800] loss=0.05520 lr=2.000e-04
[epoch 081 step 031900] loss=0.05899 lr=2.000e-04
[epoch 082 step 032000] loss=0.05974 lr=2.000e-04
[epoch 082 step 032100] loss=0.05743 lr=2.000e-04
[epoch 082 step 032200] loss=0.05208 lr=2.000e-04
[epoch 082 step 032300] loss=0.05119 lr=2.000e-04
[epoch 083 attempt 032394] optimizer step skipped; scaler=2097152.0
[epoch 083 step 032400] loss=0.05264 lr=2.000e-04
[epoch 083 step 032500] loss=0.05753 lr=2.000e-04
